Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load
24.15009792,1,0.401991576,1.794985652
24.20011008,1,0.402784973,1.802486897
24.25012224,1,0.403700411,1.810801983
24.30001152,1,0.404459864,1.818726301
24.35002368,1,0.405402422,1.827026963
24.40003584,1,0.406155139,1.835442662
24.450048,1,0.407090902,1.843074679
24.50006016,1,0.407836825,1.851468801
24.55007232,1,0.408725142,1.858157516
24.60008448,1,0.40951851,1.866933942
24.65009664,1,0.410345793,1.873798251
24.7001088,1,0.411193401,1.882266283
24.75012096,1,0.411939323,1.88947618
24.80001024,1,0.412854761,1.897566319
24.8500224,1,0.413607448,1.905995369
24.90003456,1,0.414543241,1.913131237
24.95004672,1,0.415295929,1.922138214
25.00005888,1,0.416211367,1.929386139
25.05007104,1,0.416984379,1.938326955
25.1000832,1,0.417845577,1.945219278
25.15009536,1,0.418679655,1.954403758
25.20010752,1,0.419459462,1.961620331
25.25011968,1,0.42036134,1.970276713
25.30000896,1,0.421107233,1.978306055
25.35002112,1,0.422043025,1.986476064
25.40003328,1,0.422775358,1.995074868
25.45004544,1,0.423690796,2.002499104
25.5000576,1,0.424470633,2.011308432
25.55006976,1,0.425358921,2.018942118
25.60008192,1,0.426159084,2.028167248
25.65009408,1,0.426986367,2.035592556
25.70010624,1,0.427861124,2.044748068
25.7501184,1,0.428634167,2.052627802
25.80000768,1,0.42955637,2.06118536
25.85001984,1,0.430309057,2.069523096
25.900032,1,0.43124485,2.07755208
25.95004416,1,0.431990772,2.086419106
26.00005632,1,0.432899415,2.094590425
26.05006848,1,0.433645338,2.103507519
26.10008064,1,0.434499741,2.110425711
26.1500928,1,0.435320228,2.119714022
26.20010496,1,0.436120391,2.127298594
26.25011712,1,0.437015474,2.13625741
26.3000064,1,0.437795311,2.144453287
26.35001856,1,0.438724309,2.153266668
26.40003072,1,0.439476997,2.162146568
26.45004288,1,0.440419555,2.170380592
26.50005504,1,0.441151887,2.179516554
26.5500672,1,0.442053765,2.187068462
26.60007936,1,0.442847162,2.196725368
26.65009152,1,0.443688005,2.20408082
26.70010368,1,0.444515288,2.213336706
26.75011584,1,0.445288301,2.220910788
26.80000512,1,0.446203738,2.229406118
26.85001728,1,0.446936101,2.237961531
26.90002944,1,0.447878659,2.24646616
26.9500416,1,0.448631346,2.255699635
27.00005376,1,0.449573904,2.263781309
27.05006592,1,0.450346947,2.273216724
27.10007808,1,0.451235265,2.2809484
27.15009024,1,0.452055752,2.290385485
27.2001024,1,0.45286271,2.298135757
27.25011456,1,0.453737438,2.307149172
27.30000384,1,0.454476565,2.315107346
27.350016,1,0.455392003,2.323817015
27.40002816,1,0.456097245,2.332341909
27.45004032,1,0.457019448,2.340085506
27.50005248,1,0.457778931,2.34962225
27.55006464,1,0.458667248,2.357167721
27.6000768,1,0.459508091,2.366707802
27.65008896,1,0.460348934,2.374787807
27.70010112,1,0.461223662,2.384346247
27.75011328,1,0.461983144,2.392614841
27.80000256,1,0.462891817,2.401340961
27.85001472,1,0.46361059,2.410164118
27.90002688,1,0.464532793,2.418615818
27.95003904,1,0.465278715,2.427688599
28.0000512,1,0.466187358,2.435594559
28.05006336,1,0.466967195,2.445039034
28.10007552,1,0.467821598,2.45280838
28.15008768,1,0.468676001,2.46263957
28.20009984,1,0.469496489,2.471082687
28.250112,1,0.470398366,2.480414867
28.30000128,1,0.471171409,2.489104986
28.35001344,1,0.472093642,2.497970819
28.4000256,1,0.472805619,2.506822348
28.45003776,1,0.473741412,2.514708757
28.50004992,1,0.474487334,2.524255037
28.55006208,1,0.475382417,2.531967402
28.60007424,1,0.47616902,2.541852236
28.6500864,1,0.476996303,2.549850464
28.70009856,1,0.477850705,2.559435368
28.75011072,1,0.478596598,2.567144632
28.80012288,1,0.479525596,2.576262474
28.85001216,1,0.480285078,2.585493326
28.90002432,1,0.481227636,2.594122171
28.95003648,1,0.481959999,2.603456259
29.00004864,1,0.482882202,2.611495256
29.0500608,1,0.483641684,2.621485472
29.10007296,1,0.484496087,2.629288435
29.15008512,1,0.485316575,2.638998985
29.20009728,1,0.486116737,2.647049665
29.25010944,1,0.487005055,2.656363249
29.3001216,1,0.487771302,2.664730549
29.35001088,1,0.4887003,2.673876524
29.40002304,1,0.489439428,2.683076143
29.4500352,1,0.490368426,2.69168973
29.50004736,1,0.491107583,2.701604605
29.55005952,1,0.492022991,2.709610462
29.60007168,1,0.492809594,2.719373465
29.65008384,1,0.493670791,2.727078915
29.700096,1,0.494511634,2.737064123
29.75010816,1,0.495311797,2.74507308
29.80012032,1,0.496213675,2.754736423
29.8500096,1,0.496973127,2.763315439
29.90002176,1,0.49789536,2.772228241
29.95003392,1,0.498634487,2.78151679
30.00004608,1,0.49954313,2.789750099
30.05005824,1,0.500275493,2.799046516
30.1000704,1,0.501143456,2.806892633
30.15008256,1,0.501984298,2.816520452
30.20009472,1,0.502798021,2.824589491
30.25010688,1,0.503686309,2.834042549
30.30011904,1,0.504459381,2.84274435
30.35000832,1,0.505388379,2.851935387
30.40002048,1,0.506107152,2.861021519
30.45003264,1,0.50703615,2.868977547
30.5000448,1,0.507788837,2.87874341
30.55005696,1,0.508677125,2.886666775
30.60006912,1,0.509470522,2.896178484
30.65008128,1,0.51029104,2.904095173
30.70009344,1,0.511165798,2.913968325
30.7501056,1,0.511932015,2.9225986
30.80011776,1,0.512867808,2.931834221
30.85000704,1,0.513620496,2.941442251
30.9000192,1,0.514563084,2.950265169
30.95003136,1,0.515315771,2.960193872
31.00004352,1,0.516231179,2.96851325
31.05005568,1,0.517004251,2.978867769
31.10006784,1,0.517872214,2.987178802
31.15008,1,0.518692672,2.997835636
31.20009216,1,0.519479275,3.005820274
31.25010432,1,0.520367622,3.015638351
31.30011648,1,0.52112031,3.02444458
31.35000576,1,0.522042513,3.03356576
31.40001792,1,0.52276808,3.043241262
31.45003008,1,0.523697078,3.051871777
31.50004224,1,0.524463356,3.062327385
31.5500544,1,0.525351644,3.07055378
31.60006656,1,0.526178956,3.081498384
31.65007872,1,0.527019799,3.089907169
31.70009088,1,0.527860641,3.100726843
31.75010304,1,0.528606534,3.108911037
31.8001152,1,0.529528737,3.11892581
31.85000448,1,0.530247509,3.12798357
31.90001664,1,0.531169772,3.137051821
31.9500288,1,0.53192246,3.147054434
32.00004096,1,0.532837868,3.15610671
32.05005312,1,0.53362447,3.166359425
32.10006528,1,0.534472108,3.175085545
32.15007744,1,0.535333276,3.185534
32.2000896,1,0.536133468,3.194301605
32.25010176,1,0.537028551,3.204557419
