Machine_Time,Machine_N_cycles,Machine_Displacement,Machine_Load,MD_index--1,MD_N_cycles--1,MD_Displacement--1,MD_Load--1,u--1,v--1,exx--1,eyy--1,exy--1,Crack_length,Crack_N_cycles,Crack_Displacement,Crack_Load,Th_time,Th_N_cycles,Th_specimen_max,Th_specimen_mean,Th_chamber,Th_uppergrips,Th_lowergrips,Specimen_name
,,0.457127,384.815477,,,,,0.0262333,-0.235162,-0.00182329,0.00414788,5.36e-05,,,,,,,,,20,,,
,,0.449332,386.94148,,,,,0.028007,-0.23674,-0.00183508,0.00417618,6.26e-05,,,,,,,,,20,,,
,,0.455774,390.033847,,,,,0.0257286,-0.238164,-0.00183337,0.00420302,4.44e-05,,,,,,,,,20,,,
,,0.46969,387.279708,,,,,0.0248505,-0.239715,-0.00186057,0.00423286,3.11e-05,,,,,,,,,20,,,
,,0.472267,395.944779,,,,,0.0269103,-0.241507,-0.00187648,0.00426661,2.43e-05,,,,,,,,,20,,,
,,0.46402,394.398595,,,,,0.0282043,-0.243131,-0.00188556,0.00430017,2.32e-05,,,,,,,,,20,,,
,,0.46795,400.889346,,,,,0.0273524,-0.244631,-0.00187514,0.00433748,2.85e-05,,,,,,,,,20,,,
,,0.475617,401.308104,,,,,0.0265066,-0.246278,-0.00187857,0.00437191,1.64e-05,,,,,,,,,20,,,
,,0.478516,402.14562,,,,,0.0278578,-0.248208,-0.00187383,0.00440963,2.92e-05,,,,,,,,,20,,,
,,0.476196,406.188247,,,,,0.0301899,-0.249977,-0.00185721,0.00444685,2.72e-05,,,,,,,,,20,,,
,,0.474844,408.153188,,,,,0.0288131,-0.251637,-0.00182022,0.00448572,4.17e-05,,,,,,,,,20,,,
,,0.48979,413.291028,,,,,0.0271387,-0.253286,-0.0018012,0.00452714,2.49e-05,,,,,,,,,20,,,
,,0.499132,411.14892,,,,,0.0287856,-0.255019,-0.00180004,0.0045613,3.59e-05,,,,,,,,,20,,,
,,0.495781,414.209075,,,,,0.0299523,-0.256887,-0.00177933,0.00459259,4.3e-05,,,,,,,,,20,,,
,,0.500807,420.264962,,,,,0.0289371,-0.258647,-0.00180429,0.00462307,6.27e-05,,,,,,,,,20,,,
,,0.509826,422.874147,,,,,0.0282327,-0.260567,-0.00183861,0.00465358,5.18e-05,,,,,,,,,20,,,
,,0.501708,424.017679,,,,,0.0289762,-0.262417,-0.00187395,0.0046732,5.1e-05,,,,,,,,,20,,,
,,0.50158,423.453966,,,,,0.0309161,-0.264085,-0.00190898,0.00469216,3.09e-05,,,,,,,,,20,,,
,,0.517041,426.93288,,,,,0.0303815,-0.265573,-0.00193594,0.00471302,1.71e-05,,,,,,,,,20,,,
,,0.523484,431.023824,,,,,0.0290324,-0.26726,-0.0019638,0.00473375,8.04e-06,,,,,,,,,20,,,
