MD_N_cycles--1,MD_Load--1,MD_index--1 ,exx--1 ,eyy--1 ,exy--1
36500,102.25048,521,-0.000220138,0.00110926,-0.0000873
36500,245.739493,522,-0.000320106,0.00140989,-0.0000746
36500,480.437287,523,-0.000719798,0.00254556,-0.000118919
36500,729.791758,524,-0.00125276,0.00407404,-0.000122154
37500,761.875101,525,-0.00134681,0.00437269,-0.000145326
37500,899.952696,526,-0.00177512,0.00560576,-0.000174289
37500,879.030868,527,-0.00194479,0.00609256,-0.00017912
37500,716.665291,528,-0.00177412,0.00559961,-0.000174627
37500,462.559534,529,-0.00132133,0.00429784,-0.000141591
37500,224.785489,530,-0.00077195,0.00273997,-0.000127527
