Crack_length,Load,u,N_cycles,Specimen_name
37.3251,80.766386,2.07822,190002,
37.3251,80.79322,2.081,190003,
37.3251,80.676489,2.080129,190004,
37.3251,80.79161,2.079873,190005,
37.3251,80.655557,2.081203,190006,
37.3251,80.537484,2.077341,200001,
37.3251,80.407066,2.086343,200002,
37.3251,80.695273,2.077897,200003,
37.3251,80.550365,2.077492,200004,
37.3251,80.576663,2.082466,200005,
37.3251,80.456979,2.081654,200006,
37.3251,80.088267,2.083705,210001,
37.3251,79.910084,2.079986,210002,
37.3251,80.13335,2.080159,210003,
37.3251,80.191045,2.081632,210004,
37.3251,79.984685,2.080632,210005,
37.3251,80.175481,2.078213,210006,
37.3251,79.610874,2.084322,220001,
37.3251,79.129724,2.080159,220002,
37.3251,79.646833,2.077296,220003,
37.3251,79.705333,2.081767,220004,
37.3251,79.369897,2.082924,220005,
37.4681,79.499509,2.0807,220006,
37.4681,79.71392,2.080933,230001,
37.4681,79.687085,2.079009,230002,
37.4681,79.45711,2.083119,230003,
37.4681,79.399415,2.081121,230004,
37.4681,79.488775,2.081181,230005,
37.4681,79.59692,2.08221,230006,
37.4681,78.950199,2.081414,240001,
37.4681,79.064247,2.079633,240002,
37.4681,78.882307,2.08221,240003,
37.4681,79.123284,2.080535,240004,
37.4681,79.175075,2.084089,240005,
37.4681,79.13375,2.080948,240006,
37.6111,78.840712,2.081699,250001,
37.6111,78.851715,2.08061,250002,
37.6111,78.996355,2.08188,250003,
37.6111,78.930341,2.085298,250004,
37.6111,78.944563,2.079393,250005,
37.6111,78.984548,2.085787,250006,
37.7541,76.590874,2.080655,300001,
37.7541,76.785695,2.083119,300002,
37.7541,76.775766,2.08221,300003,
37.7541,76.674867,2.078746,300004,
37.7541,76.755372,2.083172,300005,
37.7541,76.708947,2.076725,300006,
37.8971,75.773482,2.079069,350001,
37.8971,75.45361,2.085704,350002,
37.8971,75.58698,2.083796,350003,
37.8971,75.586443,2.082684,350004,
37.8971,75.655677,2.0836,350005,
37.8971,75.721691,2.083119,350006,
38.0401,74.321714,2.087402,400001,
38.0401,74.308296,2.080955,400002,
38.1831,74.453742,2.086516,400003,
38.1831,74.406244,2.084622,400004,
38.1831,74.394436,2.08644,400005,
38.1831,74.447033,2.089634,400006,
38.3261,73.289912,2.082548,450001,
38.3261,73.499224,2.084742,450002,
38.3261,73.553699,2.085667,450003,
38.3261,73.602002,2.080249,450004,
38.3261,73.425696,2.085404,450005,
38.3261,73.502981,2.084201,450006,
38.4691,73.022636,2.078243,500001,
38.4691,73.145003,2.082729,500002,
38.4691,72.990166,2.080655,500003,
38.4691,73.014049,2.086989,500004,
38.4691,72.832108,2.082375,500005,
38.4691,73.1552,2.081391,500006,
38.4691,72.919322,2.077492,550001,
38.4691,72.811177,2.080475,550002,
38.4691,72.876386,2.079648,550003,
38.4691,73.044641,2.084577,550004,
38.4691,73.014854,2.086749,550005,
38.4691,72.941863,2.0833,550006,
38.6121,72.694982,2.084998,600001,
38.6121,72.594082,2.084013,600002,
38.6121,72.408117,2.082195,600003,
38.6121,72.654998,2.084712,600004,
