stress_ratio,cycles_to_failure,stress_max,stress_lowerbound,stress_upperbound
-1.0,10000000,70.35773249967833,74.36695445994611,63.893479616061676
-1.0,11000000,69.92856018124132,74.01258965141756,63.32113321525325
-1.0,12000000,69.53675655155874,73.68971491014075,62.79798690650499
-1.0,13000000,69.1763321509674,73.39320498311136,62.3162329106351
-1.0,14000000,68.84263127778496,73.11909055777593,61.869787489823125
-1.0,15000000,68.53196319728747,72.86423509436696,61.45381778531651
-1.0,16000000,68.24135261610954,72.62611719637471,61.06442064666726
-1.0,17000000,67.96836593669353,72.40267969835536,60.6983983753897
-1.0,18000000,67.71098724916786,72.19222234749148,60.353098272829925
-1.0,19000000,67.46752789622519,71.99332379457039,60.02629537275058
-1.0,30000000,65.4107899594474,70.31919247239229,57.25931523736307
-1.0,130000000,58.80801908317595,64.99771825613763,48.323435190862284
-1.0,230000000,56.23891198272176,62.941585632803196,44.83209831139008
-1.0,330000000,54.613304573218954,61.64342248205089,42.62008957162094
-1.0,430000000,53.42142016586739,60.692809593496335,40.99706806420786
-1.0,530000000,52.47990046841902,59.94251848588667,39.714336956837414
-1.0,630000000,51.70160636737171,59.32269214923183,38.65359388904395
-1.0,730000000,51.03821773957688,58.79463715723924,37.74919471026645
-1.0,830000000,50.460130036383205,58.33466723199212,36.96090063638038
-1.0,930000000,49.947885020461925,57.92722465795171,36.26225323726022
-1.0,1030000000,49.48800599943063,57.561540291184315,35.634921453124186
-1.0,1130000000,49.07077244490827,57.2298502157125,35.065679676104835
-1.0,1230000000,48.688942022297084,56.92637225875846,34.54467171563455
-1.0,1330000000,48.33697377658899,56.64668419539255,34.064355219954656
0.1,1,391.3707912296854,540.2452257553912,328.3062892960668
0.1,51,321.06777703942674,421.91041356369226,278.02432534408973
0.1,101,308.8501218274587,401.38099688110367,269.25056551845836
0.1,151,301.65931149661924,389.30652862745404,264.0783869560063
0.1,201,296.54503977635625,380.72336278323047,260.3953360565242
0.1,251,292.57292156977616,374.05995860033124,257.53189741242073
0.1,301,289.32479748351705,368.6131752506374,255.18828630680082
0.1,351,286.57699427056116,364.00697403112866,253.2040770783027
0.1,401,284.1957548362691,360.01651972925254,251.48329806733815
0.1,451,282.0946901949975,356.49662036997563,249.96394341508818
0.1,501,280.21475640903833,353.3480552903366,248.60362110201666
0.1,551,278.51380740012337,350.50000852905964,247.372062720165
0.1,601,276.9607047964639,347.9001657397763,246.24689944725182
0.1,651,275.53178974468483,345.50878282540674,245.21113130431215
0.1,701,274.2086640158225,343.2949560026532,244.25153523185747
0.1,751,272.97673742906227,341.23418023931015,243.3576227517771
0.1,801,271.8242444236005,339.3066963878427,242.52093415136085
0.1,851,270.74155893084776,337.4963397630485,241.73454667537655
0.1,901,269.7207051505314,335.78971801264004,240.99272328678737
0.1,951,268.75500063192646,334.17561136383205,240.2906563758975
0.1,1000,267.8566624852165,332.67438926285,239.63727836577763
0.1,10000,226.68528623706018,264.38599049789053,209.17906132312697
0.1,20000,214.29146702359756,244.24680587829212,199.59255261432767
0.1,30000,207.04154754300453,232.678363140975,193.77257944659507
0.1,40000,201.8976478101349,224.61939113359415,189.49427403062796
0.1,50000,197.9077292023665,218.48550443011857,186.05862491168662
0.1,60000,194.6477283295419,213.57085781581003,183.1543914433623
0.1,70000,191.89143686505378,209.4983966044929,180.6160837394724
0.1,80000,189.5038285966723,206.0424477432544,178.34552409257003
0.1,90000,187.3978088489489,203.05688705480324,176.27994629931942
0.1,100000,185.5139099889039,200.44146675800405,174.37696925540334
0.1,110000,183.80971617433312,198.12430484317244,172.6067435916703
0.1,120000,182.25390911607929,196.05203931124205,170.94751661953265
0.1,130000,180.82270536010287,194.1839415009389,169.38297407839408
0.1,140000,179.49761765159113,192.48821623622865,167.900570779339
0.1,150000,178.26399050831085,190.93957743926435,166.49044266909334
0.1,160000,177.11000938320964,189.51760222709626,165.1446762803305
0.1,170000,176.02601074085717,188.2055789607271,163.85680595006164
0.1,180000,175.00398963548625,186.98967947962834,162.62146054609667
0.1,190000,174.03724060354654,185.85835053663124,161.43411073849921
0.1,200000,173.12009077544124,184.80185742122816,160.29088526378152
0.1,210000,172.24769817099812,183.81193576458193,159.18843534593603
0.1,220000,171.41589696087047,182.88152187324422,158.12383323320083
0.1,230000,170.62107715279217,182.00454113671228,157.0944952265476
0.1,240000,169.86008990261664,181.17574009479782,156.09812250757918
0.1,250000,169.13017216767284,180.3905518092347,155.13265505335798
0.1,260000,168.42888614664025,179.64498696862017,154.19623528231512
0.1,270000,167.75407015489327,178.93554510404263,153.28717901663265
0.1,280000,167.1037984381285,178.25914168054513,152.40395200662482
0.1,290000,166.47634804101176,177.6130478344966,151.54515073017444
0.1,300000,165.87017129484823,176.99484026559773,150.70948651436225
0.1,310000,165.28387281812164,176.40235934261548,149.89577226716236
0.1,320000,164.71619016974702,175.83367389702977,149.10291128199927
0.1,330000,164.1659774802775,175.2870514953365,148.32988770605883
0.1,340000,163.63219152739453,174.76093322457123,147.5757583578198
0.1,350000,163.1138798303601,174.2539122150971,146.83964564965584
0.1,360000,162.61017042202366,173.76471527315024,146.12073142417705
0.1,370000,162.12026302249055,173.29218711282866,145.4182515529134
0.1,380000,161.64342139008392,172.8352767702911,144.73149117644172
0.1,390000,161.17896666604722,172.3930258573922,144.05978048849337
0.1,400000,160.72627156197862,171.96455837183754,143.40249098477437
0.1,410000,160.28475526509936,171.5490718293242,142.75903211147383
0.1,420000,159.85387895753547,171.1458295224564,142.12884825966384
0.1,430000,159.43314186289825,170.75415374329972,141.51141606075012
0.1,440000,159.02207774740785,170.37341983274695,140.9062419453004
0.1,450000,158.62025181425523,170.003050941521,140.31285993338926
0.1,460000,158.22725793932955,169.64251340552545,139.7308296293368
0.1,470000,157.84271620425258,169.29131265310232,139.15973439760907
0.1,480000,157.46627068915402,168.94898957411277,138.59917969986654
0.1,490000,157.09758749304734,168.61511729107596,138.04879157583724
0.1,500000,156.73635295421022,168.28929828125413,137.50821525294083
0.1,510000,156.38227204680152,167.97116180584865,136.97711387149266
0.1,520000,156.0350669331776,167.6603616086047,136.45516731393292
0.1,530000,155.6944756541092,167.35657385131174,135.94207112790374
0.1,540000,155.36025094143065,167.0594952580976,135.43753553417997
0.1,550000,155.03215913963945,166.76884144414777,134.9412845114825
0.1,560000,154.70997922466586,166.48434540768557,134.4530549510867
0.1,570000,154.3935019094909,166.20575616678303,133.9725958749001
0.1,580000,154.08252882754917,165.93283752490635,133.49966771136704
0.1,590000,153.77687178593703,165.6653669511232,133.03404162413392
0.1,600000,153.4763520813856,165.40313456263092,132.57549888893126
0.1,610000,153.1807998727731,165.14594219876057,132.12383031458472
0.1,620000,152.89005360465904,164.8936025769154,131.67883570446475
0.1,630000,152.60395947694246,164.64593852201827,131.24032335505225
0.1,640000,152.3223709562844,164.40278226203606,130.8081095885952
0.1,650000,152.0451483254092,164.16397478297833,130.3820183171422
0.1,660000,151.77215826681487,163.929365237539,129.9618806354587
0.1,670000,151.5032734777867,163.69881040217376,129.54753444058773
0.1,680000,151.2383723139319,163.47217417799877,129.13882407599465
0.1,690000,150.97733845873654,163.24932713137812,128.7355999984344
0.1,700000,150.72006061689746,163.03014607052566,128.33771846582948
0.1,710000,150.4664322294066,162.81451365481615,127.94504124460812
0.1,720000,150.21635120856104,162.60231803385992,127.55743533506968
0.1,730000,149.9697196912502,162.39345251369016,127.1747727134754
0.1,740000,149.72644380902793,162.18781524767584,126.79693008966852
0.1,750000,149.4864334736172,161.9853089500263,126.42378867911893
0.1,760000,149.2496021766213,161.78584062994395,126.05523398839118
0.1,770000,149.01586680232668,161.58932134469012,125.69115561310045
0.1,780000,148.7851474525846,161.3956659699855,125.3314470475024
0.1,790000,148.55736728284697,161.20479298631477,124.97600550493276
0.1,800000,148.332452348516,161.01662427984903,124.62473174836528
0.1,810000,148.1103314608376,160.83108495680767,124.2775299304202
0.1,820000,147.89093605163671,160.64810317019953,123.93430744220076
0.1,830000,147.6742000462508,160.4676099579681,123.59497477038784
0.1,840000,147.46005974407285,160.28953909166455,123.25944536205802
0.1,850000,147.2484537061635,160.11382693484083,122.92763549673553
0.1,860000,147.03932264943563,159.94041231042937,122.59946416522277
0.1,870000,146.83260934695613,159.76923637643804,122.27485295478563
0.1,880000,146.62825853394526,159.60024250934777,121.95372594030187
0.1,890000,146.4262168190866,159.433376194652,121.63600958100574
0.1,900000,146.22643260079258,159.26858492402033,121.32163262249223
0.1,910000,146.02885598809644,159.10581809861628,121.01052600366455
